time;x;y;z;t_1-T_n-1;a_tot;;;
1,42764E+18;-0,0640;0,6937;10,2406;;10,26426994;;tmin;11500032
1,42764E+18;-0,0365;0,6883;10,2226;49619968;10,24585601;;tmax;335909888
1,42764E+18;-0,0551;0,6614;10,2406;48699904;10,26208401;;tges;65837949952
1,42764E+18;-0,0383;0,6800;10,2472;48770048;10,26978887;;tavg;65903853,81
1,42764E+18;-0,0431;0,6841;10,2173;36290048;10,24022603;;;
1,42764E+18;-0,0670;0,6961;10,2047;49100032;10,22862089;;;
1,42764E+18;-0,0628;0,6901;10,2149;48740096;10,23834132;;amin;10,19496992
1,42764E+18;-0,0485;0,6907;10,2406;48729856;10,2639828;;amax;10,30238694
1,42764E+18;-0,0317;0,6919;10,2083;48710144;10,23174987;;;
1,42764E+18;-0,0419;0,6979;10,2370;56239872;10,26085603;;;
1,42764E+18;-0,0419;0,7009;10,2292;39739904;10,25329727;;;
1,42764E+18;-0,0204;0,6913;10,2185;51540224;10,24183122;;;
1,42764E+18;-0,0287;0,6853;10,2047;49229824;10,22771397;;;
1,42764E+18;-0,0622;0,6967;10,2340;117949952;10,25789192;;;
1,42764E+18;-0,0497;0,6800;10,2101;52910080;10,23280974;;;
1,42764E+18;-0,0425;0,6829;10,2292;65520128;10,2520879;;;
1,42764E+18;-0,0365;0,6997;10,1885;65129984;10,21258843;;;
1,42764E+18;-0,0533;0,6764;10,2268;64389888;10,24931198;;;
1,42764E+18;-0,0521;0,6812;10,1915;69339904;10,21438773;;;
1,42764E+18;-0,0365;0,6907;10,2149;51210240;10,2382539;;;
1,42764E+18;-0,0509;0,6997;10,2071;65579776;10,23116214;;;
1,42764E+18;-0,0748;0,7081;10,2292;63080192;10,25397813;;;
1,42764E+18;-0,0359;0,7135;10,2304;53159936;10,25533556;;;
1,42764E+18;-0,0497;0,6776;10,2011;62870016;10,22369276;;;
1,42764E+18;-0,0329;0,6668;10,2107;63689984;10,23247226;;;
1,42764E+18;-0,0443;0,6764;10,2232;60689920;10,24568611;;;
1,42764E+18;-0,0419;0,6758;10,2454;57190144;10,26773524;;;
1,42764E+18;-0,0377;0,6859;10,2418;65529856;10,26481025;;;
1,42764E+18;-0,0269;0,7105;10,2580;50810112;10,2825672;;;
1,42764E+18;-0,0724;0,7033;10,2238;64419840;10,24825721;;;
1,42764E+18;-0,0575;0,6955;10,2125;61740032;10,23628477;;;
1,42764E+18;-0,0593;0,6788;10,1927;59630080;10,21546283;;;
1,42764E+18;-0,0443;0,6794;10,2669;61250048;10,28948196;;;
1,42764E+18;-0,0587;0,7063;10,2436;48859904;10,26807979;;;
1,42764E+18;-0,0545;0,6877;10,2669;61250048;10,29008745;;;
1,42764E+18;-0,0461;0,7015;10,2125;53100032;10,23663569;;;
1,42764E+18;-0,0395;0,6961;10,2256;63559936;10,24937886;;;
1,42764E+18;-0,0455;0,6973;10,2149;52710144;10,23873615;;;
1,42764E+18;-0,0389;0,6764;10,2220;60759808;10,24446986;;;
1,42764E+18;-0,0335;0,6901;10,2466;61000192;10,26985419;;;
1,42764E+18;-0,0377;0,6901;10,2119;57889792;10,2352317;;;
1,42764E+18;-0,0473;0,6847;10,2388;48499968;10,26178418;;;
1,42764E+18;-0,0503;0,6800;10,2167;64480256;10,23938304;;;
1,42764E+18;-0,0395;0,6979;10,2364;62529792;10,26024892;;;
1,42764E+18;-0,0503;0,6823;10,2089;64300032;10,23177771;;;
1,42764E+18;-0,0640;0,6931;10,2412;48829952;10,26482613;;;
1,42764E+18;-0,0575;0,6967;10,1903;60300032;10,214272;;;
1,42764E+18;-0,0503;0,6632;10,2101;77490176;10,2317127;;;
1,42764E+18;-0,0593;0,6656;10,2053;49769984;10,22713845;;;
1,42764E+18;-0,0359;0,6746;10,2083;61129984;10,23060454;;;
1,42764E+18;-0,0341;0,6889;10,2053;48579840;10,22856943;;;
1,42764E+18;-0,0467;0,6985;10,2244;60580096;10,24837774;;;
1,42764E+18;-0,0461;0,6907;10,1981;54080000;10,22157095;;;
1,42764E+18;-0,0605;0,6782;10,2107;65060096;10,23334523;;;
1,42764E+18;-0,0413;0,6979;10,1981;58379776;10,22203836;;;
1,42764E+18;-0,0341;0,6973;10,2328;59810048;10,25660622;;;
1,42764E+18;-0,0323;0,6943;10,2173;61500160;10,24087121;;;
1,42764E+18;-0,0533;0,6943;10,2424;48829952;10,26603871;;;
1,42764E+18;-0,0359;0,6907;10,2262;61240064;10,24959783;;;
1,42764E+18;-0,0449;0,6979;10,2358;48769792;10,25967447;;;
1,42764E+18;-0,0425;0,7033;10,2370;61370112;10,26122629;;;
1,42764E+18;-0,0622;0,7003;10,2197;60549888;10,24380529;;;
1,42764E+18;-0,0467;0,7033;10,2508;49740032;10,27497803;;;
1,42764E+18;-0,0449;0,6686;10,2250;60090112;10,24697015;;;
1,42764E+18;-0,0557;0,6806;10,2179;49100032;10,24064451;;;
1,42764E+18;-0,0605;0,6883;10,2328;61339904;10,25612116;;;
1,42764E+18;-0,0323;0,7039;10,2586;49629952;10,28272649;;;
1,42764E+18;-0,0299;0,6794;10,2310;60700160;10,25359693;;;
1,42764E+18;-0,0419;0,6680;10,2202;61669888;10,24213967;;;
1,42764E+18;-0,0371;0,7009;10,2388;50139904;10,26283337;;;
1,42764E+18;-0,0473;0,6985;10,2244;52340224;10,24838049;;;
1,42764E+18;-0,0347;0,6859;10,2197;60909824;10,24270293;;;
1,42764E+18;-0,0455;0,6823;10,2167;61710080;10,23951992;;;
1,42764E+18;-0,0563;0,7015;10,2532;49900032;10,27729264;;;
1,42764E+18;-0,0700;0,6901;10,2424;58560000;10,26585684;;;
1,42764E+18;-0,0676;0,6907;10,1975;57430016;10,2210942;;;
1,42764E+18;-0,0617;0,6961;10,2262;57410048;10,25008475;;;
1,42764E+18;-0,0658;0,6847;10,2161;47329792;10,23919273;;;
1,42764E+18;-0,0449;0,6800;10,2185;61280000;10,24114803;;;
1,42764E+18;-0,0305;0,6734;10,2442;61030144;10,26634242;;;
1,42764E+18;-0,0497;0,7003;10,2197;69920000;10,24373662;;;
